800 97958
0 8 3.2590321635520256
0 11 7.644529250184895
0 15 1.1131787442275276
0 19 4.498511153605296
0 20 2.4022795361496687
0 28 5.396483311226423
0 36 7.897941345260176
0 37 5.802678050504011
0 38 6.197898829520803
0 39 6.920101482206573
0 43 9.01181594908127
0 58 9.15454709871657
0 68 4.6413243935371975
0 71 1.9649510638590029
0 73 6.6932663234373555
0 82 3.940937509393143
0 90 3.052537522122737
0 93 0.7921866291567026
0 95 7.624983542618171
0 96 3.1608147161342792
0 102 2.848075615648147
0 103 0.3526351505147318
0 110 2.6798174332368974
0 112 2.8838060979638582
0 113 3.143197473709974
0 116 5.584370090320175
0 121 9.245311413480655
0 127 2.5173822689766743
0 136 6.639695340037573
0 141 6.134341404589101
0 149 2.8275266137872066
0 154 2.6765973704534076
0 160 3.0262328150310838
0 183 0.8401157345357446
0 184 5.287180454348025
0 190 1.62502018335843
0 202 7.720525172566602
0 216 1.9417931111665487
0 218 0.24243500421675335
0 221 9.587645073780061
0 225 7.084079742288986
0 229 7.647902137106324
0 230 9.64372497683063
0 235 5.268533819205028
0 241 6.533253701801601
0 243 9.859361391360803
0 248 7.5648943956945
0 259 0.7060825772320245
0 261 2.968356305247987
0 263 8.985307500935733
0 264 9.048463503797624
0 281 1.059443194024029
0 282 1.4960084339323654
0 288 0.3887244901338893
0 293 6.879089505002643
0 307 7.662684287148238
0 315 0.8061883143473969
0 319 0.3535101189794687
0 321 1.3116531286504374
0 324 3.6357689830431617
0 325 4.853539083608941
0 328 2.8743103364854647
0 330 5.813520054726502
0 339 6.909841074927487
0 343 5.389312151755197
0 348 6.014369048652718
0 354 3.9634588579865406
0 356 7.836777371961565
0 357 3.1705938467037154
0 359 7.324794091002884
0 366 7.05384208686458
0 375 2.4951272287460133
0 377 6.9127531665009245
0 381 3.493439905439628
0 388 0.22051583171133982
0 395 5.869242084304529
0 396 5.55156374816815
0 414 0.3799434891554232
0 418 9.410623267822803
0 422 9.391209993176936
0 426 0.8590493957002066
0 432 1.9002162185244575
0 435 4.662356797410086
0 440 0.2626214220936618
0 459 2.459537174767694
0 460 3.53753157921635
0 466 6.038403136224493
0 472 9.54772429578665
0 479 8.202278773807372
0 482 9.338852464283717
0 483 2.4044637055498286
0 485 9.384203788717272
0 488 2.922167589750683
0 491 7.020514556477734
0 492 9.061885539711023
0 501 7.547341740634652
0 508 5.256468249275757
0 512 5.043323821817714
0 517 9.847666469795335
0 519 5.837505085897763
0 528 9.740774720684772
0 535 1.4999407596479963
0 557 8.11188639117644
0 579 4.481324228605903
0 582 1.0218470088154563
0 584 1.1430014028247326
0 588 7.568224971253769
0 590 8.504033214713987
0 592 5.482049146418908
0 593 9.640758414436666
0 603 3.692842444295895
0 607 7.984678465934688
0 609 3.5944960314496988
0 613 7.819325596958616
0 614 1.6038581518282158
0 618 8.306510838236873
0 622 0.9730994241220492
0 655 1.224898030622863
0 656 7.126834416415663
0 667 5.984163854531904
0 670 6.60859457075585
0 672 1.0184646427814936
0 686 8.359609866759639
0 692 0.7970398860415995
0 698 1.9516681512338874
0 702 4.80209038427328
0 704 4.1092731185790266
0 707 7.368935273837934
0 718 7.300431271674393
0 727 9.982770371288883
0 741 7.375287435680034
0 763 6.002382921202074
0 784 5.313232841508135
0 787 5.911047485681204
0 788 6.158579423534681
0 791 4.010347021006964
1 9 8.688151482276051
1 16 8.080063823869644
1 31 4.520813594236968
1 32 9.000920707802084
1 35 4.235874197368262
1 38 2.8376747516650447
1 39 7.515590616618407
1 40 6.132737984775662
1 43 2.4147814434016466
1 54 8.457364905198613
1 60 4.9648243381378085
1 66 8.164649869949463
1 79 6.7281703529698875
1 82 4.913710451605667
1 87 4.776388384336155
1 97 8.849678891391099
1 101 2.092238128540802
1 102 9.689761075225588
1 118 0.549146425321283
1 127 5.758863425488476
1 130 1.6337870859396397
1 134 7.815265362520996
1 151 5.938958807766931
1 163 3.172453666188045
1 165 5.7423649074724
1 168 2.685255715435649
1 169 3.082068307732734
1 171 9.60327858203602
1 176 5.5802655852704754
1 180 0.38234390210440283
1 187 0.8590509722202166
1 191 2.413436081181377
1 199 2.968847451429718
1 202 2.129503749678201
1 207 6.049901234193989
1 215 7.568927493234491
1 216 1.9743719650320934
1 217 4.866317341908848
1 225 0.7626047006679448
1 236 4.765985870064934
1 237 1.146007362196616
1 239 2.1542535905018925
1 246 5.3495920879445915
1 255 1.055626572430377
1 262 2.339231060869026
1 266 2.1071971696150738
1 267 3.700158302944291
1 288 8.492691125400508
1 289 3.870481276810085
1 297 6.8346449695625635
1 298 3.7773544356293307
1 300 2.159799652319804
1 306 1.533002704720211
1 313 7.879187311490342
