600 55082
0 21 3.376071073242237
0 28 5.138833135037687
0 46 3.6935508230245553
0 47 0.09695627258866746
0 49 8.045957390607395
0 67 0.34394602120438655
0 69 3.9070575193541988
0 71 0.46651466605552416
0 73 4.29027276174224
0 74 5.202289032044889
0 79 5.399720379227565
0 82 8.327784253104438
0 83 2.080779224331899
0 96 8.375438327113118
0 107 3.6719988595482924
0 109 3.4417907663549316
0 115 1.0815865954872927
0 117 9.204371064234945
0 118 2.5677822627533042
0 121 1.00957212614458
0 123 0.6691437657976029
0 124 0.6196313327038017
0 129 3.5813099214483213
0 133 8.005779385943324
0 150 9.540229839141764
0 160 3.4473205883014524
0 169 2.2003359936007874
0 177 9.030790065723068
0 182 3.1117188708010857
0 186 9.392754605453796
0 187 8.238630342876242
0 193 0.7911101334542958
0 194 6.728563817449773
0 197 7.002848134680471
0 200 4.392363477630039
0 207 3.5295420161806765
0 214 8.7459189345149
0 216 0.09991535436588705
0 219 4.274483485681888
0 220 8.735734755764243
0 229 9.136373334974923
0 230 0.22758725298502425
0 235 0.5552973951824125
0 252 4.773065683679659
0 256 8.817369343528425
0 257 5.18136667962275
0 260 2.5751699194106727
0 261 9.359806520136761
0 272 0.9259663034454191
0 278 6.367479329838183
0 282 8.831308666685052
0 287 2.4633198175526627
0 291 5.766986751881571
0 292 5.564285372832142
0 294 3.7200627954686394
0 296 1.0887376456631992
0 297 9.108858348435556
0 298 1.390414942598891
0 300 7.4156583864315495
0 301 2.665584639515969
0 309 2.0107675493908284
0 312 4.373429561114746
0 321 0.9408168001370731
0 322 9.198300336788307
0 330 9.955870628265991
0 331 4.931283978785247
0 338 2.0814911873422473
0 348 7.7493563485310535
0 353 1.5259534406264041
0 356 3.1344966142227895
0 357 9.701550286435571
0 372 6.398196711692731
0 379 5.180303589234903
0 384 5.662630027131662
0 394 9.04716208842737
0 395 0.31879429242642865
0 403 6.9040733615088525
0 404 3.9225594518748697
0 405 7.96889036841277
0 407 7.448186894485037
0 409 0.590688968051809
0 410 9.204536584970066
0 411 1.85062986193685
0 421 4.028700891764001
0 423 5.403581952858892
0 444 9.885835189346478
0 449 8.933236439616733
0 452 1.844114474673143
0 478 4.752627220070403
0 486 5.57724338714228
0 488 8.347679358959896
0 490 8.676000866285738
0 494 4.343930084115206
0 514 8.742774198010132
0 517 9.63377245114086
0 522 7.577826861014677
0 527 4.06131164736589
0 533 0.46470162569517526
0 534 6.483587152441226
0 540 2.2628797114998656
0 562 5.696862421017681
0 563 9.399717184716398
0 567 4.050381975561428
0 569 3.302316668315589
0 570 0.19440116884989256
0 571 0.25977832104217446
